id,name,lon,lat
3005,"Welcome Park, NPS",-75.14403,39.94733
3006,40th & Spruce,-75.20311,39.9522
3007,"11th & Pine, Kahn Park",-75.15993,39.94517
3008,Temple University Station,-75.15067,39.98081
3009,33rd & Market,-75.18982,39.95576
3010,15th & Spruce,-75.16618,39.94711
3012,21st & Catharine,-75.17747,39.94218
3014,"21st & Winter, Franklin Institute",-75.17369,39.95886
3015,"4th & Walnut, NPS",-75.14886,39.94735
3016,"11th & Poplar, John F. Street Community Center",-75.1547,39.96892
3017,6th & Berks,-75.14371,39.98003
3018,12th & Filbert,-75.15979,39.95273
3019,6th & Race,-75.14983,39.95403
3020,University City Station,-75.19007,39.94855
3021,18th & JFK,-75.16902,39.9539
3022,Amtrak 30th Street Station,-75.18323,39.95472
3024,"43rd & Chester, Clark Park",-75.20908,39.94822
3025,11th & Washington,-75.1612,39.93724
3026,2nd & Lombard,-75.1455,39.94182
3028,4th & Bainbridge,-75.14958,39.94061
3029,36th & Sansom,-75.19479,39.9538
3030,Darien & Catharine,-75.15716,39.93935
3031,13th & Montgomery,-75.15522,39.98005
3032,23rd & South,-75.17971,39.94527
3033,10th & Chestnut,-75.15672,39.95005
3034,11th & Reed,-75.16248,39.93315
3035,Dornsife Center,-75.19419,39.96271
3037,Pennsylvania Convention Center,-75.16138,39.95424
3038,The Children's Hospital of Philadelphia (CHOP),-75.19409,39.94781
3039,Broad & Girard,-75.15993,39.97157
3040,17th & Spring Garden,-75.16606,39.96289
3041,"Girard Station, MFL",-75.13546,39.96849
3047,"Independence Mall, NPS",-75.14947,39.95073
3049,Foglietta Plaza,-75.1425,39.94509
3051,23rd & Fairmount,-75.17507,39.96744
3052,9th & Locust,-75.15695,39.94732
3053,Point Breeze & Tasker,-75.18154,39.93231
3054,Rodin Museum,-75.1742,39.9625
3055,8th & Market,-75.15457,39.95112
3056,Broad & Oxford,-75.15813,39.97669
3057,Philadelphia Art Museum,-75.17987,39.96439
3058,20th & Fairmount,-75.17001,39.96716
3059,"Spring Garden Station, BSL",-75.16121,39.96244
3060,Free Library of Philadelphia - Central Library,-75.17036,39.95923
3061,23rd & Market,-75.17761,39.95425
3062,24th & Sansom,-75.17943,39.95197
3063,17th & Pine,-75.1698,39.94633
3064,"18th & Washington, Chew Playground",-75.17327,39.9384
3065,Girard & Hutchinson,-75.15171,39.9707
3066,19th & Lombard,-75.17348,39.94561
3067,"39th & Mt. Vernon, Mantua Haverford Community Center",-75.19973,39.96411
3068,Broad & Federal,-75.16711,39.93549
3069,4th & Christian,-75.15038,39.93704
3072,Front & Carpenter,-75.14541,39.93445
3073,9th & Spring Garden,-75.15242,39.96143
3074,44th & Walnut,-75.20987,39.95511
3075,Fairmount & Ridge,-75.16125,39.96718
3077,17th & Girard,-75.16351,39.97207
3078,19th & Market,-75.17192,39.95355
3086,Broad & Christian,-75.16691,39.94019
3088,3rd & Girard,-75.1418,39.96984
3093,33rd & Diamond,-75.18701,39.98837
3096,29th & Dauphin,-75.17975,39.99119
3097,"Berks Station, MFL",-75.13339,39.97888
3098,10th & Federal,-75.16042,39.93431
3099,4th & Washington,-75.15094,39.93401
3100,Moyamensing & Tasker,-75.15103,39.92777
3101,11th & South,-75.15955,39.94295
3102,"Pennsylvania & Fairmount, Perelman Building",-75.17952,39.96759
3104,34th & Mantua,-75.19209,39.96664
3106,33rd & Dauphin,-75.18637,39.99179
3107,33rd & Reservoir,-75.18866,39.98203
3110,Del. River Trail & Penn St.,-75.13641,39.96175
3111,"Parkside & Belmont, Case Building",-75.21323,39.97779
3112,48th & Spruce,-75.21825,39.95373
3113,Philadelphia Zoo,-75.19781,39.97472
3114,22nd & Federal,-75.18012,39.93775
3115,"19th & Girard, PTTI",-75.16757,39.97263
3116,Barnes Foundation,-75.17198,39.96006
3117,ParkWest Town Center,-75.22399,39.97841
3118,"46th Street Station, MFL",-75.21323,39.95866
3119,42nd & Lancaster,-75.20799,39.96674
3120,31st & Girard,-75.18669,39.97522
3123,22nd & Cecil B. Moore,-75.17088,39.98004
3124,Race Street Pier,-75.13956,39.95367
3125,15th & South,-75.16735,39.94391
3150,"15th & Castle, DiSilvestro Playground",-75.17021,39.92884
3152,"40th & Baltimore, Trolley Portal",-75.20286,39.94993
3154,12th & Callowhill,-75.15821,39.95924
3155,7th & Fitzwater,-75.15442,39.94018
3156,20th & Market,-75.17407,39.95381
3157,"8th & Mifflin, Bok Building",-75.15954,39.92545
3158,Broad & Passyunk ,-75.16904,39.92552
3159,38th & Spruce,-75.19962,39.95121
3160,38th & Market,-75.19862,39.95662
3161,30th Street Station East,-75.18091,39.95486
3162,27th & South,-75.18475,39.94595
3163,25th & Locust,-75.18097,39.94974
3164,12th & Passyunk,-75.16515,39.92814
3165,24th & Race SRT,-75.1782,39.95819
3166,Frankford & Belgrade,-75.13445,39.97195
3168,20th & Sansom,-75.17394,39.95134
3169,2nd & Race,-75.14263,39.95382
3181,Crescent Park,-75.17514,39.89629
3182,17th & Sansom,-75.16953,39.95081
3183,15th & Kitty Hawk,-75.17679,39.88994
3184,Health Sciences Drive,-75.19551,39.94573
3185,11th & Market ,-75.15888,39.95169
3187,20th & Race,-75.17232,39.95725
3188,"Broad & Pattison, BSL",-75.1734,39.90471
3196,25th & Diamond,-75.17477,39.98717
3197,Broad & Ritner,-75.17033,39.92083
3200,Ridge & Master,-75.16846,39.97583
3201,16th & Arch,-75.1662,39.95523
3203,18th & Christian,-75.17227,39.94077
3204,17th & Green,-75.16582,39.96437
3205,17th & JFK,-75.16783,39.95405
3207,34th & Chestnut,-75.192,39.95441
3208,34th & Spruce,-75.19324,39.95048
3209,45th & Baltimore,-75.21278,39.949
3210,Broad & Diamond,-75.15668,39.98492
3211,Corinthian & Poplar,-75.1706,39.97172
3212,Schuylkill Banks Pergola,-75.18177,39.96383
3213,Broad & Carpenter,-75.16663,39.93887
3226,2nd & Norris,-75.13721,39.98101
3235,16th & Callowhill,-75.1651,39.96
3236,24th & Pennsylvania ,-75.17765,39.96566
3237,Broad & Oregon,-75.17096,39.91717
3240,44th & Haverford,-75.21185,39.96277
3241,"52nd & Larchwood, Malcolm X Park",-75.22637,39.95225
3243,8th & Diamond,-75.14743,39.9835
3245,Broad & Cecil B. Moore,-75.15777,39.97887
3246,50th & Baltimore,-75.22301,39.94782
3247,"47th & Aspen, Lucien Blackwell",-75.21514,39.96538
3248,24th & Christian,-75.18335,39.94213
3249,34th & Arch,-75.19079,39.95784
3250,4th & Wood,-75.14575,39.95673
3251,29th & Tasker,-75.19319,39.93366
3252,30th & Oakford,-75.19324,39.93882
3253,"26th & Moore, Vare Recreation Center",-75.18924,39.93074
3254,16th & Montgomery,-75.16065,39.98091
3255,Broad & Chestnut,-75.16438,39.95095
3256,23rd & Chestnut,-75.17779,39.95269
3258,52nd & Chestnut,-75.22424,39.95828
3259,Saunders & Pearl,-75.19883,39.95998
3261,2nd & Brown,-75.14099,39.96304
3263,43rd & Powelton,-75.2081,39.9586
3264,8th & Spruce,-75.15508,39.94571
3265,Powelton & Lancaster,-75.19633,39.95957
3266,Water & Mifflin,-75.14701,39.9237
3267,19th & Oregon,-75.1796,39.918
3268,10th & Oxford,-75.15101,39.97633
3271,53rd & Baltimore,-75.22946,39.9476
3272,50th & Haverford,-75.22048,39.96405
3275,York & Aramingo,-75.12157,39.97576
3276,12th & Fairmount,-75.15679,39.96569
3277,20th & Berks,-75.16738,39.98306
3278,22nd & Sedgley,-75.1681,39.99301
3279,13th & Mifflin,-75.1668,39.9265
3280,50th & Woodland,-75.21362,39.93968
3281,Lindbergh & Wheeler,-75.2162,39.9323
3282,10th & Nevada,-75.14925,39.98628
3284,Midvale & Cresson,-75.19287,40.01112
3285,5th & Willow,-75.14745,39.95946
3286,6th & Brown,-75.14769,39.96409
3287,49th & Chester,-75.21606,39.94367
3291,Ridge & Heritage,-75.197,40.01022
3292,5th & Wolf,-75.1562,39.92
3294,18th & Chestnut,-75.17063,39.95174
3295,12th & Chestnut,-75.16027,39.95028
3296,16th & Chestnut,-75.16758,39.95134
3297,18th & Vine,-75.16901,39.95821
3298,42nd & Woodland,-75.20691,39.94717
3299,9th & Lombard,-75.15698,39.94332
3300,Broad & Cherry,-75.16287,39.95511
3301,18th & Walnut,-75.17126,39.95029
3303,41st & Chestnut,-75.2053,39.9559
3304,7th & South,-75.15399,39.94234
3305,22nd & Lehigh,-75.1671,39.99569
3306,28th & Lehigh,-75.17761,39.99683
3307,27th & Clearfield,-75.174,40.0028
3310,Oxford & Glenwood,-75.18651,39.98024
3313,10th & Oregon,-75.1643,39.9158
3314,Front & Queen,-75.14492,39.93682
3315,48th & Woodland,-75.21138,39.94235
3316,16th & Wolf,-75.17337,39.92255
3318,City Hall South,-75.16395,39.95182
3319,Penn Treaty Park,-75.12964,39.96672
